Book Name,Book Category,Book Star Rating,Book Price,Book in Stock
Naked,Humor,Three,£31.69,In stock
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,Five,£55.50,In stock
Holidays on Ice,Humor,Two,£51.07,In stock
Security,Horror,Two,£39.25,In stock
Follow You Home,Horror,One,£21.36,In stock
The Loney,Horror,One,£23.40,In stock
Pet Sematary,Horror,Three,£10.56,In stock
Doctor Sleep (The Shining #2),Horror,Two,£40.12,In stock
Psycho: Sanitarium (Psycho #1.5),Horror,Five,£36.97,In stock
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,One,£48.64,In stock
Red Dragon (Hannibal Lecter #1),Horror,Three,£23.37,In stock
Dracula the Un-Dead,Horror,Five,£35.63,In stock
Night Shift (Night Shift #1-20),Horror,Four,£12.75,In stock
Needful Things,Horror,Four,£47.51,In stock
Misery,Horror,Two,£34.79,In stock
It,Horror,Three,£25.01,In stock
'Salem's Lot,Horror,Four,£49.56,In stock
The Stand,Horror,Two,£57.86,In stock
The Girl with All the Gifts,Horror,Three,£49.47,In stock
House of Leaves,Horror,One,£54.89,In stock
Sapiens: A Brief History of Humankind,History,Five,£54.23,In stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,One,£25.52,In stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,One,£19.73,In stock
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,Two,£36.28,In stock
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,One,£59.64,In stock
Zealot: The Life and Times of Jesus of Nazareth,History,Three,£24.70,In stock
A Distant Mirror: The Calamitous 14th Century,History,Three,£14.58,In stock
1491: New Revelations of the Americas Before Columbus,History,Three,£21.80,In stock
Brilliant Beacons: A History of the American Lighthouse,History,Three,£11.45,In stock
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,Five,£44.48,In stock
A Short History of Nearly Everything,History,Five,£52.40,In stock
The Rise and Fall of the Third Reich: A History of Nazi Germany,History,Two,£39.67,In stock
Catherine the Great: Portrait of a Woman,History,Four,£58.55,In stock
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,Five,£42.91,In stock
The Hiding Place,History,Four,£55.91,In stock
America's War for the Greater Middle East: A Military History,History,Two,£51.22,In stock
The Guns of August,History,Two,£14.54,In stock
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,Two,£43.70,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,Three,£30.52,In stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,One,£56.41,In stock
My Paris Kitchen: Recipes and Stories,Food and Drink,Two,£33.37,In stock
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,Four,£14.02,In stock
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,One,£40.11,In stock
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,Five,£37.34,In stock
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,Two,£37.60,In stock
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,One,£41.25,In stock
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,Three,£42.16,In stock
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,Three,£28.77,In stock
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,One,£19.55,In stock
Barefoot Contessa Back to Basics,Food and Drink,One,£28.01,In stock
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,Five,£50.62,In stock
My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,Two,£11.53,In stock
Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,Five,£20.10,In stock
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,One,£38.77,In stock
Cravings: Recipes for What You Want to Eat,Food and Drink,Three,£20.50,In stock
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,Four,£12.34,In stock
32 Yolks,Food and Drink,Two,£53.63,In stock
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,Five,£11.38,In stock
Redeeming Love,Christian Fiction,Five,£20.47,In stock
Close to You,Christian Fiction,Four,£49.46,In stock
Shadows of the Past (Logan Point #1),Christian Fiction,Five,£39.67,In stock
Like Never Before (Walker Family #2),Christian Fiction,Two,£28.77,In stock
Counted With the Stars (Out from Egypt #1),Christian Fiction,Five,£17.97,In stock
If I Run (If I Run #1),Christian Fiction,Four,£49.97,In stock
The Dirty Little Secrets of Getting Your Dream Job,Business,Four,£33.34,In stock
The Third Wave: An Entrepreneur’s Vision of the Future,Business,Five,£12.61,In stock
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,Three,£27.55,In stock
Shoe Dog: A Memoir by the Creator of NIKE,Business,Two,£23.99,In stock
Made to Stick: Why Some Ideas Survive and Others Die,Business,Five,£38.85,In stock
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,One,£43.14,In stock
The Art of Startup Fundraising,Business,Three,£21.00,In stock
Born for This: How to Find the Work You Were Meant to Do,Business,Five,£21.59,In stock
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,One,£36.91,In stock
"Rich Dad, Poor Dad",Business,One,£51.74,In stock
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Business,Three,£33.92,In stock
Rework,Business,Two,£44.88,In stock
Louisa: The Extraordinary Life of Mrs. Adams,Biography,Two,£16.85,In stock
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,Two,£21.15,In stock
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,Biography,One,£39.55,In stock
Benjamin Franklin: An American Life,Biography,Three,£48.19,In stock
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Biography,Three,£42.57,In stock
In Her Wake,Thriller,One,£12.84,In stock
The Elephant Tree,Thriller,Five,£23.82,In stock
Behind Closed Doors,Thriller,Four,£52.22,In stock
You (You #1),Thriller,Five,£43.61,In stock
The Guilty (Will Robie #4),Thriller,Two,£13.82,In stock
The 14th Colony (Cotton Malone #11),Thriller,One,£39.24,In stock
Give It Back,Thriller,Two,£18.32,In stock
Killing Floor (Jack Reacher #1),Thriller,Four,£31.49,In stock
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Thriller,Three,£59.71,In stock
Far From True (Promise Falls Trilogy #2),Thriller,Two,£34.93,In stock
The Travelers,Thriller,One,£15.77,In stock
When We Collided,Contemporary,One,£31.77,In stock
Someone Like You (The Harrisons #2),Contemporary,Five,£52.79,In stock
We Are All Completely Beside Ourselves,Contemporary,One,£24.04,In stock
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,Five,£17.66,In stock
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,Five,£32.24,In stock
Chasing Heaven: What Dying Taught Me About Living,Spirituality,Two,£37.80,In stock
If I Gave You God's Phone Number....: Searching for Spirituality in America,Spirituality,One,£20.91,In stock
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Spirituality,Two,£46.33,In stock
A New Earth: Awakening to Your Life's Purpose,Spirituality,Five,£55.65,In stock
Logan Kade (Fallen Crest High #5.5),Academic,Two,£13.12,In stock
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,One,£46.35,In stock
How to Be Miserable: 40 Strategies You Already Use,Self Help,One,£46.03,In stock
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,Three,£52.15,In stock
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self Help,Three,£12.08,In stock
How to Stop Worrying and Start Living,Self Help,Five,£46.49,In stock
All the Light We Cannot See,Historical,Five,£29.87,In stock
The Girl You Left Behind (The Girl You Left Behind #1),Historical,One,£15.79,In stock
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,Five,£54.00,In stock
Crazy Love: Overwhelmed by a Relentless God,Christian,Two,£47.72,In stock
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Christian,One,£25.77,In stock
Silence in the Dark (Logan Point #4),Suspense,Three,£58.33,In stock
The Grownup,Short Stories,One,£35.88,In stock
Suzie Snowflake: One beautiful flake (a self-esteem story),Novels,Five,£54.81,In stock
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,Three,£49.05,In stock
"Eat Fat, Get Thin",Health,Two,£54.07,In stock
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Health,Five,£49.71,In stock
The Art and Science of Low Carbohydrate Living,Health,Five,£52.98,In stock
Libertarianism for Beginners,Politics,Two,£51.33,In stock
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,Four,£52.65,In stock
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,One,£56.86,In stock
Amid the Chaos,Cultural,One,£36.58,In stock
Dark Notes,Erotica,Five,£19.19,In stock
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,One,£10.97,In stock
